,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
92,1760 41st Ave,Fast Food Restaurant,Capitola,US,36.975287,-121.963929,McDonald's,95010,CA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EGQ6wFBP1R9j_yPfgIG2qmnnU3b4EFXLWYqzqH6pileJnsDBgYjhj6412OE3eqoLyrSIPEJpXfr10mUiQbRKfZCKZytUuX1ZpMEsmU-K0mL9uCZDhf-nRxkx0xcmqFX3TZTiNoK_LLFKzM4tXpEgtM6BtXv1F1Dtta5XsdiyvBJEV0mlmPAVL2Pu6RmeqLjpOAn33qz2UnedC1_zx5rpnLNrmgDLP8JD5ybb_0Q39GTiHHETlR-P6De5PcnwdlW-y8vyj8ebfPFpzbn9rFADOxR89FY8oXj4UIhDD_VtoRyzgHJH5V9Y-VMW6tYYPV1Mo1HKgwIeySRaqAGLkVvLdGz_CsMZ1suQUbuVO4npEtgjXhkTN1M6U6OnMStBos6B3SKu2FskRfaKS79IW6dtIJMgMX6YDrO3fsrAwOvRxD3y_9wUQipDE74g-3ujGiLw9Hu1VZzqhXGXny8vDUMMm7W9lxwbR6gY5u0kN8pas5HAodV4YJoO2wlriR6AFoJf1&placement=listing_profile.b&cs_user=unknown&cs_session=563e0edec6600f42076961856207b2e00e43040a"
93,401 Las Posas Rd,Fast Food Restaurant,Camarillo,US,34.221478,-119.070243,Carl's Jr,93010,CA,http://www.carlsjr.com
94,2871 Lenwood Rd,"Fast Food Restaurant, Mexican Restaurant, and Taco Place",Barstow,US,34.867566,-117.114747,Del Taco,92311,CA,http://www.deltaco.com
95,12690 Ramona Blvd,Fast Food Restaurant,Baldwin Park,US,34.077713,-117.996169,Del Taco,91706,CA,"http://www.deltaco.com/,http://www.deltaco.com"
96,1210 N Hacienda Blvd,Fast Food,La Puente,US,34.0422696,-117.9493495,Little Caesars Pizza,91744,CA,"http://www.littlecaesars.com,http://www.littlecaesars.com/"
97,562 N Main St,Fast Food Restaurant,Bishop,US,37.365314,-118.39508,McDonald's,93514,CA,http://mcdonalds.com
98,1310 E Lamar St,Fast Food Restaurants,Americus,US,32.07128,-84.216974,McDonald's,31709,GA,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJLAJ_vfQBtbvB4zGTnIYoWRbIEgmM7GACT2nb6P4T534O6zsqWMT1dGYn2yZmThdG2l6bxRAehX9MMRYzPPYWyr41EJtdRX7k2W2WlBonHxD4LoeEKDlC6HoS_lxNDt4TdZGM073h_gpe34ufzx1v9MJp9LaquUJq-1ADLw6yAaZQYpZYbTJ6EcC6EfvO9ETkn3vDUWIRGp_dWtsgvTj2j_rMgdtj0BF2b71HuiaZF9wJxPHjZM0xyP5GAMXUbwE9Eil7_kubblHoZV1pgJy9TsaPTE2jphduEIq5AoFtq0Xr5preciKefI9xkeVpjaUUFPnXuPQd2tiRlJ_TWt5Z4N7qfdZS2BAJ&placement=listing_profile&cs_user=unknown&cs_session=387e0e1c0d4afa4d7f617762d1f04373dd312c3d"
99,2009 E Greenville St,Fast Food Restaurant,Anderson,US,34.54701,-82.6319,Burger King,29621,SC,"https://locations.bk.com/sc/anderson/2009-e-greenville-st.html,http://www.bk.com"
100,2521 W Commonwealth Ave,Fast Food Restaurant,Alhambra,US,34.088183,-118.151437,Carl's Jr,91803,CA,"http://www.carlsjr.com,http://www.carlsjr.com/,http://carlsjr.com"
101,3450 Wrightsboro Rd Ste 2340,Fast Food Restaurants,Augusta,US,33.46734,-82.07989,Sbarro,30909,GA,http://www.sbarro.com
